cep;cidade;numero;origem;estado;cnpj;nome;recompra;fantasia;razao_social;telefone;email;tag1;inscricao_estadual;codigo;logradouro;bairro;ibge;celular
35420-000;MARIANA;111;Base Bignotto;MG;03.123.580/0001-00;JOSE AGOSTINHO JAQUES & CIA LTDA;20;FUNERARIA SAO JOSE;JOSE AGOSTINHO JAQUES & CIA LTDA;031 3557-1559;agostinhojaques@hotmail.com;IUB;ISENTO;604;RUA RAIMUNDO GAMARANO;SAO PEDRO;3140001;031 99997-5041
32920-000;SAO JOAQUIM DE BICAS;157;Base Bignotto;MG;04.166.003/0001-50;FUNERARIA BRAGA DE SAO JOAQUIM DE BICAS;20;FUNERARIA BRAGA DE S;FUNERARIA BRAGA DE SAO JOAQUIM DE BICAS LTDA;031 3534-0049;renataalmeidaprof@gmail.com;IUB;ISENTO;605;RUA ALAGOAS;TEREZA CRISTINA;3162922;31 9604-0049
37500-000;ITAJUBA;187;Base Bignotto;MG;00.970.718/0001-00;FUNERARIA BOM PASTOR LTDA;20;FUNERARIA BOM PASTOR;FUNERARIA BOM PASTOR LTDA;035 3623-5222;grupobompastor@live.com;IUB;324.956.345.00-25;607;RUA MIGUEL VIANA;MORRO CHIC;3132404;
75388-775;TRINDADE;488;Base Bignotto;GO;02.783.643/0001-84;GADE ADMINISTRACAO SERVICOS POSTUMOS LTD;20;PAX SILVA;GADE ADMINISTRACAO SERVICOS POSTUMOS LTDA;062 3505-1014;funeraria@paxsilva.com.br;IUB;ISENTO;609;AVENIDA AL WILSON TORRANO;SETOR CENTRAL;5221403;062 98279-9940
13318-130;CABREUVA;644;Base Bignotto;SP;05.025.910/0001-42;LUCIANA IBRAHIM VIEIRA;20;FUNERARIA MONTE SERR;LUCIANA IBRAHIM VIEIRA;011 4409-3090;g.funerariaespiritosanto@gmail.com;IUB;233.073.969.112;613;RUA FERNANDO NUNES;BAIRRO JACARE;3508405;011 99589-5492
35304-210;CARATINGA;836;Base Bignotto;MG;70.977.624/0001-49;FUNERARIA SANTA FE LTDA;20;SAF - FUNERARIA SANT;FUNERARIA SANTA FE LTDA;033 3321-1115;itaunaservicos@uol.com.br;IUB;ISENTO;614;AVENIDA DARIO DE ANUNCIACAO GROSSI;DARIO GROSSI;3113404;
29500-000;ALEGRE;313;Base Bignotto;ES;05.033.970/0001-07;SILVA & QUADROS LTDA ME;20;S.E. QUADROS;SILVA & QUADROS LTDA ME;028 3552-1555;vendas4@bignotto.com.br;IUB;082.156.45-0;624;AVENIDA OLIVIO CORREIA PEDROSA;CENTRO;3200201;028 9882-4445
73020-414;BRASILIA;13;Base Bignotto;DF;33.459.801/0006-83;CENTER PAX PROMOTORA DE VENDAS LTDA EPP;20;;CENTER PAX PROMOTORA DE VENDAS LTDA EPP;061 99858-1292;felisminof@hotmail.com;IUB;073.139.460.05.03;626;LOTE;SOBRADINHO AREA EXP;5300108;
26113-510;BELFORD ROXO;14;Base Bignotto;RJ;39.463.989/0001-05;FUNERARIA BOAVISTA LIMITADA;20;;FUNERARIA BOAVISTA LIMITADA;021 96605-7904;planocapelanova@gmail.com;IUB;ISENTO;656;RUA R VIRGILINA BICCHIERE;VILA HERMINIA MAIA;3300456;
72460-320;BRASILIA;32;Base Bignotto;DF;03.336.941/0001-99;FUNERARIA APOCALIPSE LTDA;20;FUNERARIA BOA ESPERA;FUNERARIA APOCALIPSE LTDA;(61) 36151105;apocalipse@apocalipse.com.br;IUB;0746464100103;658;QUADRA;GAMA - SETOR LESTE;5300108;
13600-690;ARARAS;53;Base Bignotto;SP;05.286.891/0001-08;BOM PASTOR DE ARARAS ORGANIZACAO DE LUTO;20;B.P.O.L.A.;BOM PASTOR DE ARARAS ORGANIZACAO DE LUTO LTDA ME;19 3542.1128;bompastorararas@hotmail.com;IUB;182.148.035.110;669;RUA CEL ANDRE ULSON JUNIOR;CENTRO;3503307;
19470-000;PRESIDENTE EPITACIO;14;Base Bignotto;SP;00.003.119/0001-18;FUNERARIA ARACA LTDA ME;20;ARACA.;FUNERARIA ARACA LTDA ME;018 3281-2440;funerariaaraca@yahoo.com.br;IUB;561.019.860.114;679;RUA JOAO PESSOA;VILA MARIA;3541307;
12410-050;PINDAMONHANGABA;570;Base Bignotto;SP;05.790.023/0001-60;LUCAS CESAR RIBEIRO VELORIO ME;20;L.C.R.;LUCAS CESAR RIBEIRO VELORIO ME;012 3643-2644;lucascr@hotmail.com;IUB;ISENTO;709;RUA MAJOR JOSE DOS SANTOS MOREIRA;PARQUE IPE;3538006;012 3642-7888
14400-730;FRANCA;2243;Base Bignotto;SP;05.792.565/0001-72;R R J SERVICOS FUNERARIOS LTDA ME;20;R.R.J.;R R J SERVICOS FUNERARIOS LTDA ME;016 3723-4141;rivapai@hotmail.com;IUB;310.373.985.113;711;RUA DR JULIO CARDOSO;CENTRO;3516200;16 98119-0173
12410-040;PINDAMONHANGABA;82;Base Bignotto;SP;05.162.260/0001-87;ORGANIZACAO ASSISTENCIAL DE LUTO SANTO E;20;ORGANIZACAO SANTO EX;ORGANIZACAO ASSISTENCIAL DE LUTO SANTO EXPEDITO LTDA;012 3645-3340;tripinda@hotmail.com;IUB;ISENTO;712;RUA DR FREDERICO MACHADO;CENTRO;3538006;
38190-000;SACRAMENTO;988;Base Bignotto;MG;05.317.282/0001-79;FUNERARIA BONATTI SACRAMENTO LTDA;20;FUNERARIA BONATTI;FUNERARIA BONATTI SACRAMENTO LTDA;034 98403-7884;itair@onda.net.br;IUB;569.201.885.00-46;715;RUA JOSE PANDO;MARIA ROSA;3156908;
13790-005;SAO SEBASTIAO DA GRAMA;289;Base Bignotto;SP;05.782.939/0001-79;L C DE OLIVEIRA CANDIDO ME;20;FUNERARIA GRAMENSE;L C DE OLIVEIRA CANDIDO ME;019 3646-1201;funerariagramense@hotmail.com;IUB;655.068.224.115;732;RUA NOVE DE JULHO;CENTRO;3550803;019 3646-1440
14781-560;BARRETOS;500;Base Bignotto;SP;56.908.411/0001-34;PARQUE DAS OLIVEIRAS EMPREEND.COMERCIAS;20;OLIVEIRAS;PARQUE DAS OLIVEIRAS EMPREEND.COMERCIAS LTDA ME;017 33236060;rachell.chell@gmail.com;IUB;204.122.672.114;734;AVENIDA PAULO CASTOR GOMES;PQ RESID.MINERVA;3505500;017 3323-6060
13974-340;ITAPIRA;69;Base Bignotto;SP;48.620.769/0001-39;EMPRESA FUNERARIA SAO LUIZ ITAPIRA LTDA-;20;EMPRESA FUNERARIA SA;EMPRESA FUNERARIA SAO LUIZ ITAPIRA LTDA-ME;019 3863-0605;vancslo@yahoo.com.br;IUB;374.002.871.114;740;RUA RUI BARBOSA;CENTRO;3522604;
06600-170;JANDIRA;236;Base Bignotto;SP;06.249.766/0001-90;FUNERARIA PARAISO JANDIRA EIRELI;20;FUNERARIA PARAISO;FUNERARIA PARAISO JANDIRA EIRELI;011 3903-8806;funerariaparaiso@uol.com.br;IUB;ISENTO;748;AVENIDA ALBERTO RUFFOLO;VILA ANITA COSTA;3525003;
38280-000;ITURAMA;1522;Base Bignotto;MG;02.917.534/0008-89;ROSA MISTICA LTDA;20;ROSA MISTICA;ROSA MISTICA LTDA;34 3411-3647;jbmcontabil@bol.com.br;IUB;ISENTO;762;AVENIDA CAMPINA VERDE;CENTRO;3134400;
72880-001;CIDADE OCIDENTAL;12;Base Bignotto;GO;06.922.662/0001-03;SERLLUZ OCIDENTAL SERVICOS POSTUMOS LTDA;20;OCIDENTAL;SERLLUZ OCIDENTAL SERVICOS POSTUMOS LTDA;061 9938-6139;phelipe_serpluz@hotmail.com;IUB;10.377560-9;768;SQ;CIDADE OCIDENTAL;5205497;
06550-000;PIRAPORA DO BOM JESUS;190;Base Bignotto;SP;05.523.319/0001-15;FUNERARIA ALVORADA LTDA - ME;20;FUNERARIA ALVORADA;FUNERARIA ALVORADA LTDA - ME;011 4705-8781;funerariaparnaiba@hotmail.com;IUB;540.008.239.114;772;RUA CONEGO HENRIQUE VAN KASTEREN;VILA NOVA;3539103;011 99130-8729
20770-001;RIO DE JANEIRO;249;Base Bignotto;RJ;05.959.893/0001-10;AGENCIA FUNERARIA SANTA CASA DE ACARI LT;20;SANTA CASA COPACABAN;AGENCIA FUNERARIA SANTA CASA DE ACARI LTDA;021 3372-5627;financeiro@santacasacopacabana.com.br;IUB;ISENTO;773;RUA ARQUIAS CORDEIRO;ENGENHO DE DENTRO;3304557;
75200-000;PIRES DO RIO;37;Base Bignotto;GO;01.990.641/0001-01;PAX PIRESINA SERVICOS POSTUMOS LTDA;20;PAX PIRESINA SERVICO;PAX PIRESINA SERVICOS POSTUMOS LTDA;064 3461-1666;pax.piresina@hotmail.com;IUB;102.946.48-5;774;RUA CORONEL JOAO RINCON;CENTRO;5217401;64 9905-2133
72215-566;BRASILIA;17;Base Bignotto;DF;05.346.734/0001-40;FUNERARIA AMOR ETERNO LTDA;20;PAX AMOR ETERNO SERV;FUNERARIA AMOR ETERNO LTDA;061 3371-3496;paxamoreternocerimonial@hotmail.com;IUB;074.395.950.019-5;775;EQNM;CEILANDIA;5300108;061 3037-1399
32510-082;IGARAPE;473;Base Bignotto;MG;07.123.214/0001-02;FUNERARIA BRAGA DE IGARAPE LTDA ME;20;BRAGA DE IGARAPE;FUNERARIA BRAGA DE IGARAPE LTDA ME;031 3534-4413;funerariabraga2019@gmail.com;IUB;ISENTO;780;AV DUQUE DE CAXIAS;SAO SEBASTIAO;3130101;
17013-211;BAURU;15;Base Bignotto;SP;04.130.438/0001-45;MEMORIAL BAURU NECROPOLE ECUMENICA VERTI;20;MEMORIAL BAURU;MEMORIAL BAURU NECROPOLE ECUMENICA VERTIC.LTDA ME;014 3233-3030;administracao@memorialbauru.com.br;IUB;209.320.880.111;787;RUA RUA EZEQUIEL RAMOS;VILA CARDIA;3506003;
13600-700;ARARAS;27;Base Bignotto;SP;07.216.464/0001-89;FUNERARIA NOVA ALIANCA LTDA ME;20;FUNERARIA NA;FUNERARIA NOVA ALIANCA LTDA ME;019 3541-2080;funeraria.novaalianca@hotmail.com;IUB;182.150.067.118;793;RUA TIRADENTES;CENTRO;3503307;019 987320886
13260-023;MORUNGABA;34;Base Bignotto;SP;05.070.361/0001-28;GSM ASSISTENCIA FUNERAL LTDA ME;20;GSM;GSM ASSISTENCIA FUNERAL LTDA ME;011 4014-6559;gsplanos@hotmail.com;IUB;468.009.284.119;794;RUA PEREIRA CARDOSO;CENTRO;3532009;
16400-748;LINS;630;Base Bignotto;SP;07.203.415/0001-01;FUNERARIA SANTA IZABEL DE LINS LTDA;20;EMPRESA FUNERARIA SA;FUNERARIA SANTA IZABEL DE LINS LTDA;014 3522-5800;thomazfernandes@yahoo.com.br;IUB;ISENTO;801;AVENIDA AV ARQUITETO LUIS SAIA;VILA IRMAOS ANDRADE;3527108;014 99784-7772
36150-000;RIO NOVO;245;Base Bignotto;MG;03.273.973/0001-92;FUNERARIA E PLANO FUNERAL RIO NOVO LTDA;20;FUNERARIA E PLANO FU;FUNERARIA E PLANO FUNERAL RIO NOVO LTDA ME;032 3274-2450;luizarinco@hotmail.com;IUB;ISENTO;805;RUA DR.ELILIO DE MATTOS;CENTRO;3155405;
13201-160;JUNDIAI;2222;Base Bignotto;SP;51.864.205/0001-56;FUMAS FUNDACAO MUNICIPAL DE ACAO SOCIAL;20;FUMAS;FUMAS FUNDACAO MUNICIPAL DE ACAO SOCIAL;011 4521-1722;ajohansen@jundiai.sp.gov.br;IUB;ISENTO;807;AVENIDA UNIAO DOS FERROVIARIOS;PONTE DE CAMPINAS;3525904;011 4521-2499
33250-060;PEDRO LEOPOLDO;82;Base Bignotto;MG;06.258.619/0001-87;FUNERARIA CORACAO DE JESUS LTDA;20;CORACAO DE JESUS;FUNERARIA CORACAO DE JESUS LTDA;031 3660-2739;funerariacoracaodejesus@hotmail.com;IUB;ISENTO;812;RUA SAO SEBASTIAO;CENTRO;3149309;
76285-000;NOVO BRASIL;;Base Bignotto;GO;02.065.043/0001-80;R V DA SILVA O GOIANO;20;FUNERARIA NOVO BRASI;R V DA SILVA O GOIANO;62 3381-1418;contmore@hotmail.com;IUB;ISENTO;820;RUA DOM ABEL, S/N;CENTRO;5215207;62 98631-0446
28800-000;RIO BONITO;256;Base Bignotto;RJ;07.526.258/0001-75;FLC MARTINS SERVICOS FUNERARIOS LTDA;20;FUNERARIA RIO BONITO;FLC MARTINS SERVICOS FUNERARIOS LTDA;021 99584-7815;fabio.139@hotmail.com;IUB;ISENTO;821;RUA DR MATTOS;CENTRO;3304300;
13880-000;VARGEM GRANDE DO SUL;81;Base Bignotto;SP;07.668.158/0001-83;ODAIR DONIZETI MARQUES ME;20;NOVA ALIANÇA;ODAIR DONIZETI MARQUES ME;019 3641-1063;escstoantonio@uol.com.br;IUB;711.108.514.110;823;PRACA NOSSA SENHORA APARECIDA;NOSSA SENHORA APAREC;3556404;19 98323-5249
26310-000;QUEIMADOS;474;Base Bignotto;RJ;05.604.710/0001-44;L S FAUSTINO FUNERARIA ME;20;L.S FAUSTINO;L S FAUSTINO FUNERARIA ME;021 2779-7773;santacasaqueimados@ig.com.br;IUB;77.557.865;840;RUA VER.MARINHO HEMETERIO OLIVEIRA;CENTRO;3304144;
70297-510;BRASILIA;414;Base Bignotto;DF;07.802.377/0001-03;FUNERARIA DINAMICA LTDA;20;FUNERARIA DINAMICA;FUNERARIA DINAMICA LTDA;061 3346-2282;funerariadinamica@gmail.com;IUB;074.745.040.01-67;841;RUA Q CLS;ASA SUL;5300108;
14830-000;RINCAO;99;Base Bignotto;SP;07.908.880/0001-48;ORGANIZACAO FUNERARIA ANJO LTDA ME;20;ORG.FUN.ANJO;ORGANIZACAO FUNERARIA ANJO LTDA ME;016 3395-3075;anjofuneraria@hotmail.com;IUB;ISENTO;846;AVENIDA BARAO DO RIO BRANCO;CENTRO;3543709;016 99712-3888
13303-500;ITU;400;Base Bignotto;SP;46.634.440/0001-00;MUNICIPIO DE ITU;20;ITU GABINETE;MUNICIPIO DE ITU;011 4886-9600;semsur.compras@itu.sp.gov.br;IUB;ISENTO;850;AVENIDA ITU;ITU NOVO CENTRO;3523909;011 4022-0336
12900-011;BRAGANCA PAULISTA;34;Base Bignotto;SP;07.671.929/0001-91;FUNERARIA MOTTA LTDA ME;20;FUN.MOTTA;FUNERARIA MOTTA LTDA ME;011 4033-2314;"financeiro2@planomotta.com.br;grupomottafuneraria@terra.com.br";IUB;ISENTO;855;RUA ANTONIO PIRES PIMENTEL;CENTRO;3507605;
74910-190;APARECIDA DE GOIANIA;;Base Bignotto;GO;06.219.783/0001-85;FUNERARIA GOIANIA LTDA;20;PAX GOIANIA;FUNERARIA GOIANIA LTDA;062 3983-3912;paxgoiania@hotmail.com;IUB;10.392.927-4;856;RUA VISCONDE DE OURO PRETO, SN;PQ REAL DE GOIANIA;5201405;062 99146-8055
13170-060;SUMARE;54;Base Bignotto;SP;07.387.931/0001-33;BETTIATI E SOUZA FUNERARIA LTDA;20;JMB FUNERARIA;BETTIATI E SOUZA FUNERARIA LTDA;019 3828-3131;marcelobettiati@gmail.com;IUB;671.341.516.117;866;RUA FRANCISCO DUARTE;JARDIM SAO CARLOS;3552403;
75680-001;CALDAS NOVAS;5;Base Bignotto;GO;07.759.571/0001-53;FENIX SERVICOS FUNERARIOS ASSISTENCIAIS;20;FENIX ADM. FUNERARIA;FENIX SERVICOS FUNERARIOS ASSISTENCIAIS LTDA;064 3453.7140;fenixfunerarialtda@hotmail.com;IUB;ISENTO;867;AVENIDA Z QD;ESTANCIA ITAJA;5204508;64 9262-2135
27570-000;PORTO REAL;1757;Base Bignotto;RJ;08.223.260/0001-38;PORTO REAL FUNERARIA E CAPELA LTDA;20;FUNERARIA E CAPELA P;PORTO REAL FUNERARIA E CAPELA LTDA;024 99924-9499;viviane.funerariaportoreal@gmail.com;IUB;ISENTO;870;AVENIDA GERALDO RIBAS;CENTRO;3304110;
13271-750;VALINHOS;53;Base Bignotto;SP;07.343.764/0001-29;BRACALENTE SERVICOS FUNERARIOS LTDA - ME;20;BRACALENTE;BRACALENTE SERVICOS FUNERARIOS LTDA - ME;019 3869-1900;celsobraca@gmail.com;IUB;708.197.004.110;871;RUA JOSE LEME DO PRADO;JARDIM SOLEIL;3556206;
13366-206;CAPIVARI;887;Base Bignotto;SP;52.105.483/0001-92;ORGANIZACAO FUNERARIA CONSELVAN LTDA ME;20;ORG.CONSELVA;ORGANIZACAO FUNERARIA CONSELVAN LTDA ME;019 3491-1033;financeiro@planogrupounidas.com.br;IUB;ISENTO;872;PC LUIZA MANZATTO FORTI;PQ RESIDENCIAL SANTA;3510401;
37142-000;DIVISA NOVA;266;Base Bignotto;MG;07.826.049/0001-47;FUNERARIA DIVISA NOVA LTDA ME;20;DIVISA NOVA;FUNERARIA DIVISA NOVA LTDA ME;035 3286-1114;charmsmodasdn@gmail.com;IUB;0016308700037;874;RUA PARANA;CENTRO;3122405;
38840-000;CARMO DO PARANAIBA;218;Base Bignotto;MG;08.344.961/0001-25;FUNERARIA PAX TRIANGULO LTDA;20;FUNERARIA MIRANDA E;FUNERARIA PAX TRIANGULO LTDA;34 99679-2825;evandofuneraria@hotmail.com;IUB;ISENTO;878;RUA ARISTEU ATANASIO BOAVENTURA;JK;3114303;
13800-033;MOGI MIRIM;1227;Base Bignotto;SP;08.549.699/0001-55;G C DE FREITAS GONCALVES ME;20;FUNERARIA MOGIANA;G C DE FREITAS GONCALVES ME;019 3806-2215;funerariamogiana@hotmail.com;IUB;456.153.367.112;880;RUA PADRE ROQUE;CENTRO;3530805;
18320-000;APIAI;1;Base Bignotto;SP;02.136.965/0001-31;JOAO CORREIA DA SILVA APIAI - ME;20;ORGANIZACAO SOCIAL D;JOAO CORREIA DA SILVA APIAI - ME;015 3552-1307;osla.apiai@uol.com.br;IUB;176.085.197.117;881;RUA;CENTRO;3502705;
06900-000;EMBU-GUACU;10;Base Bignotto;SP;07.577.895/0001-70;JM FERNANDES - PLANO DE ASSISTENCIA FAMI;20;MONTE SINAI;JM FERNANDES - PLANO DE ASSISTENCIA FAMILIAR E FUNERARIA;011 4665-1177;familiamontesinai@hotmail.com;IUB;299.020.580.117;895;RUA AURORA DE JESUS;CIPOZINHO;3515103;
72237-490;BRASILIA;4;Base Bignotto;DF;06.263.835/0001-10;S L ASSISTENCIA FAMILIAR LTDA;20;FUNERARIA SANTA LUZI;S L ASSISTENCIA FAMILIAR LTDA;061 3378-1114;funerariasantaluzianfe@gmail.com;IUB;0747069100218;896;ADE QD;A.D.E CEILANDIA;5300108;
13170-030;SUMARE;37;Base Bignotto;SP;67.481.523/0001-78;EMPRESA FUNERARIA CAMPOS & CAMPOS SUMARE;20;;EMPRESA FUNERARIA CAMPOS & CAMPOS SUMARE LTDA - ME;019 3873-4406;funerabomjesus@bol.com.br;IUB;671.387.872.113;900;RUA ANTONIO PEREIRA CAMARGO;CENTRO;3552403;019 99210-3571
06515-010;SANTANA DE PARNAIBA;126;Base Bignotto;SP;06.016.310/0001-80;JULIANA MARIA MENDONCA CORREA ME;20;FUNERARIA CORREA;JULIANA MARIA MENDONCA CORREA ME;011 4151-3175;funerariacorrea@gmail.com;IUB;623.089.954.114;911;RUA DAS GOIABEIRAS;PARQUE SANTANA;3547304;
37280-000;CANDEIAS;14;Base Bignotto;MG;09.559.315/0001-48;FUNERARIA FSJ LTDA ME;20;FUNERARIA SAO JOSE;FUNERARIA FSJ LTDA ME;035 3833-1845;apolinariocontabilidade@hotmail.com;IUB;001.071.008.00-69;919;RUA ANTONIO GUIMARAES;BELA VISTA;3112000;035 99908-1845
13220-465;VARZEA PAULISTA;117;Base Bignotto;SP;09.550.496/0001-41;BOM PASTOR ORG S LUTO FUN DE VARZEA PAUL;20;BOM PASTOR;BOM PASTOR ORG S LUTO FUN DE VARZEA PAULISTA LTDA;011 4521-0555;klebergrupobompastor@gmail.com;IUB;712.114.076.119;922;AVENIDA EDUARDO GUTT;JARDIM MARIA DE FATI;3556503;
12940-810;ATIBAIA;88;Base Bignotto;SP;00.937.800/0001-33;FLAMIL COMERCIO E SERVICOS FUNERARIOS LT;20;FLAMIL FUNERARIA;FLAMIL COMERCIO E SERVICOS FUNERARIOS LTDA ME;011 9.9960-664;flamiladmplanos@yahoo.com;IUB;190119226119;931;PRACA BENTO PAES;CENTRO;3504107;(11) 4412-3574
15140-000;BALSAMO;184;Base Bignotto;SP;04.102.236/0001-90;FORTALEZA SERVICOS DE LUTO LTDA;20;;FORTALEZA SERVICOS DE LUTO LTDA;017 3121-8007;daulian@superig.com.br;IUB;ISENTO;938;RUA RIO DE JANEIRO;CENTRO;3504800;017 3215-3106
15360-000;SUD MENNUCCI;749;Base Bignotto;SP;45.103.645/0001-98;ANTENOR MARTINS GARCIA ME;20;ANTENOR MART;ANTENOR MARTINS GARCIA ME;018 3786-1230;funerariaprimavera.sud@hotmail.com;IUB;670.001.359.112;939;AVENIDA PIONEIROS;CENTRO;3552304;
08780-370;MOGI DAS CRUZES;21;Base Bignotto;SP;00.890.716/0001-01;ASSIBRAFF ASS BRASILEIRA DE ATENDIMENTO;20;ASSIBRAFF;ASSIBRAFF ASS BRASILEIRA DE ATENDIMENTO FUNERAL E;011 4728-5233;agente@assibraff.com.br;IUB;454.289.439.111;946;RUA JUVENAL RIBAS DE MELLO;PARQUE MONTE LIBANO;3530607;011 4728-5688
15530-000;COSMORAMA;820;Base Bignotto;SP;05.585.877/0001-05;CLAUDEVIR PEIXE LTDA;20;FUNERARIA GRANDES LA;CLAUDEVIR PEIXE LTDA;017 3836-1114;escriband@hotmail.com;IUB;277.057.861.112;951;RUA VITORIO STACHISSINI;CENTRO;3512902;
37470-000;SAO LOURENCO;713;Base Bignotto;MG;74.430.851/0002-91;EMPRESA SANTA CLARA - EIRELI - EPP;20;SANTA CLARA;EMPRESA SANTA CLARA - EIRELI - EPP;012 3145-3228;joselia_lorenzo@hotmail.com;IUB;001098320.00-41;952;AVENIDA DAMIAO JUNQUEIRA DE SOUZA;NOSSA SRA DE FATIMA;3163706;
75681-800;CALDAS NOVAS;6;Base Bignotto;GO;01.440.035/0001-04;FUNERARIA E PAX SAO JERONIMO LTDA;20;PAX CALDAS;FUNERARIA E PAX SAO JERONIMO LTDA;064 3453-1563;paxcaldas@hotmail.com;IUB;ISENTO;953;RUA A, QUADRA;JARDIM ROMA;5204508;64 8402-6637
13660-240;PORTO FERREIRA;127;Base Bignotto;SP;08.950.098/0001-50;FUNERARIA UNIPREV SANTA LUZIA LTDA;20;UNIPREV;FUNERARIA UNIPREV SANTA LUZIA LTDA;019 3581-3031;funerariastaluzia@hotmail.com;IUB;ISENTO;965;JOAQUIM MIGUEL PEREIRA;JARDIM PROGRESSO;3540705;
37410-000;TRES CORACOES;250;Base Bignotto;MG;08.915.430/0001-45;ABREU DE SOUZA E OLIVEIRA LTDA ME;20;SAO DOMINGOS;ABREU DE SOUZA E OLIVEIRA LTDA ME;035 3231-2721;funerariasaodomingostc@hotmail.com;IUB;001.080.981.00-34;967;RUA DOUTOR JOSE ALVES PEREIRA;CENTRO;3169307;
13840-103;MOGI GUACU;229;Base Bignotto;SP;66.952.292/0001-70;SILVIA MARIA CANDIDO LTDA;20;;SILVIA MARIA CANDIDO LTDA;(19) 9771-0041;;IUB;455.330.770.117;978;RUA NUNES PEDROSA;LOTE;3530706;
75675-000;CORUMBAIBA;;Base Bignotto;GO;09.424.296/0001-42;FUNERARIA & PAX CORUMBAIBA LTDA;20;FUNERARIA & PAX CORU;FUNERARIA & PAX CORUMBAIBA LTDA;064 3447-1712;funerariapaxcorumbaiba@gmail.com;IUB;ISENTO;983;AVENIDA AV GERONIMO TEIXEIRA, S/N;LAGO BONITO;5205901;064 99989-1310
28180-000;CARDOSO MOREIRA;123;Base Bignotto;RJ;10.760.011/0001-23;W. M. LOPES SERVICOS FUNERARIOS E ASSIST;20;BEM VIVER ASSISTENCI;W. M. LOPES SERVICOS FUNERARIOS E ASSISTENCIA FAMILIAR LTDA;022 2785-1673;wlad.saf@ig.com.br;IUB;11726682;984;RUA VICENTE MAIOLINO;CENTRO;3301157;
28250-000;ITALVA;3;Base Bignotto;RJ;10.950.107/0001-54;L M PORTUGAL ASSISTENCIA FAMILIAR LTDA;20;SEMAPLAN;L M PORTUGAL ASSISTENCIA FAMILIAR LTDA;022 2783-1066;luizportuga@hotmail.com;IUB;78.869.674;988;AVENIDA PORTELA SALLES;CENTRO;3302056;
11600-000;SAO SEBASTIAO;557;Base Bignotto;SP;06.249.766/0002-71;FUNERARIA PARAISO JANDIRA LTDA ME;20;PARAISO2;FUNERARIA PARAISO JANDIRA LTDA ME;011 3903 8806;alessandrafj@hotmail.com;IUB;ISENTO;994;RUA CAPITAO LUIZ SOARES;CENTRO;3550704;
35020-510;GOVERNADOR VALADARES;148;Base Bignotto;MG;10.904.769/0001-98;FUNERARIA GV LTDA;20;FUNERARIA GV;FUNERARIA GV LTDA;033 3277-8008;decioggomes@gmail.com;IUB;ISENTO;997;RUA RUI BARBOSA;CENTRO;3127701;
21810-000;RIO DE JANEIRO;4811;Base Bignotto;RJ;01.495.998/0001-05;SERVICOS FUNERARIOS CARDOSO SANTOS LTDA;20;SANTA CASA COPACABAN;SERVICOS FUNERARIOS CARDOSO SANTOS LTDA;021 98207-6689;jr@santacasacopacabana.com.br;IUB;ISENTO;1002;AVENIDA SANTA CRUZ;BANGU;3304557;
12620-000;PIQUETE;120;Base Bignotto;SP;11.270.628/0001-23;ARLENE DOS SANTOS MINEIRO - ME;20;ARLENE;ARLENE DOS SANTOS MINEIRO - ME;12 3101-1755;novavida@funerarianovavida.com.br;IUB;533.062.923.117;1004;RUA DR AMERICO BRASILIENSE;CENTRO;3538501;
38190-000;SACRAMENTO;52;Base Bignotto;MG;01.125.953/0001-49;ORGANIZACAO SOCIAL DE LUTO BOSQUETTI LTD;20;BOSQUETTI;ORGANIZACAO SOCIAL DE LUTO BOSQUETTI LTDA ME;034 3351-1043;fernandabosquetti@hotmail.com;IUB;569.965.004.00-86;1007;PRACA GETULIO VARGAS;CENTRO;3156908;
28300-000;ITAPERUNA;311;Base Bignotto;RJ;11.009.788/0001-13;C. M. LUCAS;20;FUNERARIA CAMINHO DA;C. M. LUCAS;022 3822-9371;funerariacaminhodapaz@hotmail.com;IUB;79.646.253;1015;RUA RUI BARBOSA;CENTRO;3302205;
14700-410;BEBEDOURO;1247;Base Bignotto;SP;71.984.975/0001-40;EMPRESA FUNERARIA RESSURREICAO LTDA ME;20;RESSURREICAO;EMPRESA FUNERARIA RESSURREICAO LTDA ME;17 3342-7203;gmessias33@gmail.com;IUB;210.040.266.111;1018;RUA RUBIAO JUNIOR;CENTRO;3506102;
72800-220;LUZIANIA;520;Base Bignotto;GO;10.951.795/0001-77;HEBERT D APARECIDA RORIZ;20;SERVICO FUNERARIO DE;HEBERT D APARECIDA RORIZ;061 3621-1385;lara_roriz@hotmail.com;IUB;10.451.107-9;1029;RUA JOSE DE MELO;CENTRO;5212501;
26510-001;NILOPOLIS;1381;Base Bignotto;RJ;07.512.039/0001-37;SERVICOS FUNERARIOS SANTA CASA RIO DE JA;20;SANTA CASA COPACABAN;SERVICOS FUNERARIOS SANTA CASA RIO DE JANEIRO LTDA;021 98207-6689;alexandrejr@santacasacopacabana.com.br;IUB;ISENTO;1030;RUA GETULIO DE MOURA;CENTRO;3303203;
37780-000;CALDAS;204;Base Bignotto;MG;12.995.545/0001-64;BOM PASTOR DE CALDAS ORG.SOCIAL DE LUTO;20;BOM PASTOR;BOM PASTOR DE CALDAS ORG.SOCIAL DE LUTO LTDA ME;035 3735-1717;"financeirobompastorpc@gmail.com;bompastorcaldas@gmail.com";IUB;0017064200066;1039;AVENIDA SANTA CRUZ;CENTRO;3110301;35 8846-3834
